"population","pop2024","pop2023","pop2022","pop2020","pop2010","growth","region","city","usps","state","countyFips","county","densityMi","slug","areaMi","lng","lat","type","rank"
8097282,8097282,8258035,8335798,8740292,8190105,-0.01947,"Southeast","New York City","NY","New York","36061|36085|36005|36119|36059|36081|36047","New York County",26950,"new-york/new-york",300.457,-73.9387,40.6627,"City",1
783355,783355,785678,788001,790387,760725,-0.00296,,"Hempstead","NY","New York","36059","Nassau County",6610,"new-york/hempstead",118.514,-73.6091,40.634,"Town",2
487160,487160,488338,489516,484578,486735,-0.00241,,"Brookhaven","NY","New York","36103","Suffolk County",1876,"new-york/brookhaven",259.645,-72.9598,40.8574,"Town",3
335258,335258,336822,338386,339077,335540,-0.00464,,"Islip","NY","New York","36103","Suffolk County",3249,"new-york/islip",103.199,-73.1952,40.715,"Town",4
297155,297155,297782,298409,300272,293990,-0.00211,,"Oyster Bay","NY","New York","36059","Nassau County",2868,"new-york/oyster-bay",103.61,-73.5106,40.8005,"Town",5
273720,273720,274678,275762,277551,261280,-0.00349,"West","Buffalo","NY","New York","36029","Erie County",6779,"new-york/buffalo",40.379,-78.8597,42.8925,"City",6
235357,235357,235781,236205,236815,226547,-0.0018,,"North Hempstead","NY","New York","36059","Nassau County",4396,"new-york/north-hempstead",53.543,-73.6784,40.8034,"Town",7
216046,216046,217046,218046,217663,213729,-0.00461,,"Babylon","NY","New York","36103","Suffolk County",4133,"new-york/babylon",52.277,-73.3167,40.6409,"Town",8
206544,206544,207657,208406,210994,196510,-0.00536,"Southeast","Yonkers","NY","New York","36005|36119","Bronx County",11471,"new-york/yonkers",18.006,-73.8674,40.9459,"City",9
206078,206078,207274,208546,210862,210190,-0.00577,"West","Rochester","NY","New York","36055","Monroe County",5763,"new-york/rochester",35.761,-77.6169,43.1699,"City",10
202264,202264,202910,203556,203585,203198,-0.00318,,"Huntington","NY","New York","36103","Suffolk County",2151,"new-york/huntington",94.039,-73.3768,40.8841,"Town",11
153846,153846,152843,151840,148703,126657,0.00656,,"Ramapo","NY","New York","36087","Rockland County",2514,"new-york/ramapo",61.187,-74.105,41.1408,"Town",12
145171,145171,145560,146230,146726,145116,-0.00267,"Central","Syracuse","NY","New York","36067","Onondaga County",5793,"new-york/syracuse",25.059,-76.1436,43.041,"City",13
131279,131279,131063,130847,129353,122363,0.00165,,"Amherst","NY","New York","36029","Erie County",2468,"new-york/amherst",53.203,-78.7571,43.0116,"Town",14
114992,114992,115460,115928,115897,117862,-0.00405,,"Smithtown","NY","New York","36103","Suffolk County",2139,"new-york/smithtown",53.75,-73.1773,40.9188,"Town",15
102076,102076,101228,100884,98682,97746,0.00838,"East","Albany","NY","New York","36001","Albany County",4769,"new-york/albany",21.404,-73.7984,42.6657,"City",16
93928,93928,94591,95254,96562,96120,-0.00701,,"Greece","NY","New York","36055","Monroe County",1977,"new-york/greece",47.513,-77.7005,43.2503,"Town",17
91951,91951,92600,93249,95019,88540,-0.00701,,"Greenburgh","NY","New York","36119","Westchester County",3032,"new-york/greenburgh",30.33,-73.8427,41.0295,"Town",18
87894,87894,88363,88832,89742,88127,-0.00531,,"Cheektowaga","NY","New York","36029","Erie County",2984,"new-york/cheektowaga",29.451,-78.7418,42.91,"Town",19
85938,85938,86231,86524,86521,84737,-0.0034,,"Clarkstown","NY","New York","36087","Rockland County",2234,"new-york/clarkstown",38.465,-73.9657,41.1342,"Town",20
85740,85740,85591,85442,85383,81602,0.00174,,"Colonie","NY","New York","36001","Albany County",1532,"new-york/colonie",55.956,-73.7869,42.7407,"Town",21
84925,84925,83742,82375,80192,77178,0.01413,"Southeast","New Rochelle","NY","New York","36119|36005","Westchester County",8256,"new-york/new-rochelle",10.286,-73.7793,40.9232,"City",22
70927,70927,71314,71701,72447,73535,-0.00543,,"Tonawanda","NY","New York","36029","Erie County",3786,"new-york/tonawanda",18.735,-78.8757,42.9834,"Town",23
70372,70372,71168,71824,73556,67407,-0.01118,"Southeast","Mount Vernon","NY","New York","36005|36119","Bronx County",16023,"new-york/mount-vernon",4.392,-73.8293,40.9131,"City",24
69859,69859,69696,69533,68842,56854,0.00234,,"Southampton","NY","New York","36103","Suffolk County",503,"new-york/southampton",138.842,-72.4618,40.8816,"Town",25
68608,68608,68544,68603,68350,66151,0.00093,"East","Schenectady","NY","New York","36001|36093","Albany County",6348,"new-york/schenectady",10.808,-73.9272,42.8026,"City",26
63089,63089,63607,64028,65160,62216,-0.00814,"Central","Utica","NY","New York","36043|36065","Herkimer County",3773,"new-york/utica",16.722,-75.226,43.0964,"City",27
61903,61903,61288,59395,59443,56903,0.01003,"Southeast","White Plains","NY","New York","36119","Westchester County",6358,"new-york/white-plains",9.737,-73.751,41.0238,"City",28
59879,59879,59986,60093,60059,56976,-0.00178,,"Hamburg","NY","New York","36029","Erie County",1449,"new-york/hamburg",41.322,-78.8571,42.7391,"Town",29
59355,59355,59588,59821,60437,58439,-0.00391,,"Clay","NY","New York","36067","Onondaga County",1235,"new-york/clay",48.065,-76.1918,43.1786,"Town",30
58011,58011,58225,58413,58867,54081,-0.00368,"Southeast","Hempstead","NY","New York","36059","Nassau County",15717,"new-york/hempstead",3.691,-73.6194,40.7044,"Village",31
53821,53821,54385,54949,55944,56338,-0.01037,,"Union","NY","New York","36007","Broome County",1519,"new-york/union",35.435,-76.0322,42.126,"Town",32
50370,50370,50607,50733,51318,50081,-0.00468,"East","Troy","NY","New York","36083","Rensselaer County",4863,"new-york/troy",10.357,-73.6753,42.7358,"City",33
49918,49918,48752,47586,46249,42630,0.02392,,"Henrietta","NY","New York","36055","Monroe County",1413,"new-york/henrietta",35.323,-77.6401,43.0543,"Town",34
49375,49375,49731,50087,50934,51569,-0.00716,,"Irondequoit","NY","New York","36055","Monroe County",3288,"new-york/irondequoit",15.016,-77.5721,43.2098,"Town",35
48108,48108,48215,48322,48437,49315,-0.00222,,"Orangetown","NY","New York","36087","Rockland County",2000,"new-york/orangetown",24.055,-73.9481,41.0537,"Town",36
47533,47533,47972,48411,49387,45978,-0.00915,,"Rye","NY","New York","36119","Westchester County",6880,"new-york/rye",6.909,-73.6877,41.0058,"Town",37
47291,47291,47599,47903,48521,49996,-0.00647,"West","Niagara Falls","NY","New York","36063","Niagara County",3358,"new-york/niagara-falls",14.082,-79.0147,43.0928,"City",38
46777,46777,46774,46771,47464,46474,0.00006,,"Perinton","NY","New York","36055","Monroe County",1368,"new-york/perinton",34.195,-77.4297,43.0782,"Town",39
46372,46372,46727,47051,47790,47347,-0.0076,"South","Binghamton","NY","New York","36007","Broome County",4425,"new-york/binghamton",10.479,-75.9094,42.1013,"City",40
45453,45453,45518,45583,45179,45277,-0.00143,,"Poughkeepsie","NY","New York","36027","Dutchess County",1593,"new-york/poughkeepsie",28.538,-73.9107,41.6671,"Town",41
45028,45028,45060,45092,45036,41712,-0.00071,,"Lancaster","NY","New York","36029","Erie County",1194,"new-york/lancaster",37.711,-78.6322,42.9109,"Town",42
